CCODE,STATE,REG_STRT,REG_END,REG_PARTY,REG_REINST,ELITE_NAME,ELITE_BIRTHDATE,ELITE_DEATHDATE,ELITE_FEMALE,ELITE_REENTER,ELITE_REEXIT,ELITE_CANDENTER,ELITE_CANDEXIT,ELITE_MEMENTER,ELITE_MEMEXIT,ELITE_RETENURE,ELITE_ENTERAGE,ELITE_EXITAGE,ELITE_EXITTYPE,ELITE_EXITFATE,ELITE_EXITLEADER,ELITE_OCCUPATION,,,,,,,,,,
290,Poland,12/31/1944,6/18/1989,Polish United Workers' Party (PZPR),Politburo,"Babiuch, Edward",12/28/1927,,0,12/20/1970,8/24/1980,,,12/20/1970,8/24/1980,9.684931507,43.00821918,52.69315068,Demotion,No Punishment,Gierek,Party functionary,,,,,,,,,,
290,Poland,12/31/1944,6/18/1989,Polish United Workers' Party (PZPR),Politburo,"Baka, Władysław",3/24/1936,,0,6/14/1988,6/18/1989,,,6/14/1988,1/29/1990,1.010958904,52.26027397,53.27123288,Regime Change,,,Professor,,,,,,,,,,
290,Poland,12/31/1944,6/18/1989,Polish United Workers' Party (PZPR),Politburo,"Balicki, Zdisław",10/27/1930,5/16/1995,0,12/21/1988,6/18/1989,12/21/1988,1/29/1990,,,0.490410959,58.19178082,58.68219178,Regime Change,,,Economist,,,,,,,,,,
290,Poland,12/31/1944,6/18/1989,Polish United Workers' Party (PZPR),Politburo,"Barcikowski, Kazimierz",3/22/1927,7/10/2007,0,12/11/1971,7/29/1989,12/11/1971,9/6/1980,9/6/1980,7/29/1989,17.64383562,44.75342466,62.39726027,Resignation,No Punishment,Jaruzelski,Party functionary,,,,,,,,,,
290,Poland,12/31/1944,6/18/1989,Polish United Workers' Party (PZPR),Politburo,"Baryła, Józef",11/21/1924,,0,7/3/1986,12/21/1988,,,7/3/1986,12/21/1988,2.471232877,61.65479452,64.1260274,Demotion,No Punishment,Jaruzelski,Glassworks laborer,,,,,,,,,,
290,Poland,12/31/1944,6/18/1989,Polish United Workers' Party (PZPR),Politburo,"Bejger, Stanisław",12/12/1929,,0,7/16/1982,6/14/1988,7/16/1982,6/14/1988,,,5.917808219,52.62739726,58.54520548,Demotion,No Punishment,Jaruzelski,Economist,,,,,,,,,,
290,Poland,12/31/1944,6/18/1989,Polish United Workers' Party (PZPR),Politburo,"Berman, Jakub",12/23/1901,4/10/1984,0,12/12/1945,5/6/1956,,,12/12/1945,5/6/1956,10.40547945,44,54.40547945,Resignation,No Punishment,Ochab,Party functionary,,,,,,,,,,
290,Poland,12/31/1944,6/18/1989,Polish United Workers' Party (PZPR),Politburo,"Bierut, Bolesław",4/18/1892,3/12/1956,0,9/3/1948,3/12/1956,,,9/3/1948,3/12/1956,7.526027397,56.41369863,63.93972603,Death,,Bierut,Party functionary,,,,,,,,,,
290,Poland,12/31/1944,6/18/1989,Polish United Workers' Party (PZPR),Politburo,"Chełchowski, Hilary",8/24/1908,12/10/1983,0,3/17/1954,10/21/1956,3/17/1954,10/21/1956,,,2.6,45.59178082,48.19178082,Resignation,No Punishment,Gomułka,Carpenter,,,,,,,,,,
290,Poland,12/31/1944,6/18/1989,Polish United Workers' Party (PZPR),Politburo,"Ciosek, Stanisław",5/2/1939,,0,6/14/1988,12/21/1988,,,,,0.520547945,49.15342466,49.6739726,Demotion,No Punishment,Jaruzelski,Party functionary,,,,,,,,,,
290,Poland,12/31/1944,6/18/1989,Polish United Workers' Party (PZPR),Politburo,"Cyrankiewicz, Jozef",4/23/1911,1/20/1989,0,12/21/1948,12/11/1971,,,12/21/1948,12/11/1971,22.98630137,37.69041096,60.67671233,Demotion,No Punishment,Gierek,Party functionary,,,,,,,,,,
290,Poland,12/31/1944,6/18/1989,Polish United Workers' Party (PZPR),Politburo,"Czechowicz, Tadeusz",7/29/1935,,0,7/20/1981,7/3/1986,,,7/20/1981,7/3/1986,4.956164384,46.00821918,50.96438356,Demotion,No Punishment,Jaruzelski,Textile engineer,,,,,,,,,,
290,Poland,12/31/1944,6/18/1989,Polish United Workers' Party (PZPR),Politburo,"Czyrek, Józef",7/20/1928,6/3/2013,0,7/20/1981,6/18/1989,,,7/20/1981,7/29/1989,7.917808219,53.03561644,60.95342466,Regime Change,No Punishment,,Economist,,,,,,,,,,
290,Poland,12/31/1944,6/18/1989,Polish United Workers' Party (PZPR),Politburo,"Dworakowski, Władysław",9/10/1908,11/17/1976,0,6/15/1952,10/21/1956,6/15/1952,3/17/1954,3/17/1954,10/21/1956,4.353424658,43.79178082,48.14520548,Resignation,No Punishment,Gomułka,Locksmith,,,,,,,,,,
290,Poland,12/31/1944,6/18/1989,Polish United Workers' Party (PZPR),Politburo,"Ferensztajn, Bogumil",4/20/1934,12/29/1996,0,7/3/1986,12/15/1987,7/3/1986,12/15/1987,,,1.452054795,52.23835616,53.69041096,Demotion,No Punishment,Jaruzelski,Engineer,,,,,,,,,,
290,Poland,12/31/1944,6/18/1989,Polish United Workers' Party (PZPR),Politburo,"Fiszbach, Tadeusz",11/4/1935,,0,12/2/1980,7/20/1981,12/2/1980,7/20/1981,,,0.630136986,45.10958904,45.73972603,Demotion,No Punishment,Kania,Academic lecturer,,,,,,,,,,
290,Poland,12/31/1944,6/18/1989,Polish United Workers' Party (PZPR),Politburo,"Gabryś, Gerard",2/20/1933,,0,4/30/1981,7/20/1981,,,4/30/1981,7/20/1981,0.221917808,48.22191781,48.44383562,Demotion,No Punishment,Kania,Miner,,,,,,,,,,
